,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
404,404,513,D,Where would a person live if they wanted no neighbors?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['housing estate', 'neighborhood', 'mars', 'woods', 'suburbs'],
      dtype=object)}",housing estate,neighborhood,mars,woods,,"### Where would a person live if they wanted no neighbors? (A) housing estate (B) neighborhood (C) mars (D) woods 
 ### ","3) woods 
 ### 3) woods 
 ### 3) woods 
A person who wants to live with no neighbors would choose to reside in a  (A) housing estate (B) neighborhood (C) woods (D) city 
 ### (C) woods 
 ### ("
405,405,1146,A,From where does a snowflake form?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cloud', 'snow storm', 'billow', 'air', 'snowstorm'], dtype=object)}",cloud,snow storm,billow,air,,"### From where does a snowflake form? (A) cloud (B) snow storm (C) billow (D) air 
 ### ","1) cloud 
 ### 1) cloud 
 ### 1) cloud 
Normally, snowflakes form from the highest portion of a cumulonimbus cloud, which is a cloud that can be up to 10,000 meters tall. The water vapor in the"
406,406,852,B,Where are you likely to find a supermarket?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['buy food for family', 'city or town', 'get supplies',
       'strip mall', 'vermont'], dtype=object)}",buy food for family,city or town,get supplies,strip mall,,"### Where are you likely to find a supermarket? (A) buy food for family (B) city or town (C) get supplies (D) strip mall 
 ### ","4) strip mall 
 ### 4) strip mall 
 ### 4) strip mall 
A supermarket is typically located in a strip mall, which is a collection of stores and/or restaurants that are all in a row and share a parking lot"
407,407,599,B,If you have a child who gets in trouble for being hyperactive you may need to teach them how to what down?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['park', 'calm', 'being good', 'good behavior', 'safe'],
      dtype=object)}",park,calm,being good,good behavior,,"### If you have a child who gets in trouble for being hyperactive you may need to teach them how to what down? (A) park (B) calm (C) being good (D) good behavior 
 ### ","2) calm 
 ### 2) calm 
 ### 2) calm 
You have completed the first stage of a hybrid car, which is  (A) to drive it (B) to park it (C) to fuel it"
408,408,529,D,Where would you get some maps that you own?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bookstore', 'library', 'electrical circuit', 'cabinet',
       'important when traveling'], dtype=object)}",bookstore,library,electrical circuit,cabinet,,"### Where would you get some maps that you own? (A) bookstore (B) library (C) electrical circuit (D) cabinet 
 ### ","1) bookstore 
 ### 1) bookstore 
In this case, the answer is 1) bookstore 
In the bookstore, you would purchase your own maps, as you would be buying them in a physical location. 
In the case of maps, you would typically purchase them"
409,409,879,C,Where outside of a city would a squirrel live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['roof', 'inside home', 'forest', 'yard', 'park'], dtype=object)}",roof,inside home,forest,yard,,"### Where outside of a city would a squirrel live? (A) roof (B) inside home (C) forest (D) yard 
 ### ","3) forest 
 ### 3) forest 
 ### 3) forest 
Nutrients are a resource that  (A) is depleted (B) is renewable (C) is depleted (D) is used up 
 ### (B) is renewable 
"
410,410,111,C,What regions of a town would you have found a dime store?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['commercial building', 'old movie', 'small neighborhood', 'past',
       'mall'], dtype=object)}",commercial building,old movie,small neighborhood,past,,"### What regions of a town would you have found a dime store? (A) commercial building (B) old movie (C) small neighborhood (D) past 
 ### ","1) commercial building 
 ### 1) commercial building 
 ### Which of these would be considered a commercial district?  (A) a small neighborhood (B) a commercial building (C) a residential area (D) a commercial row 
 ### (D) a commercial row "
411,411,329,B,What happens at soon as a living being is born?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['expiration', 'growing older', 'sometimes bad', 'death',
       'start reproduction'], dtype=object)}",expiration,growing older,sometimes bad,death,,"### What happens at soon as a living being is born? (A) expiration (B) growing older (C) sometimes bad (D) death 
 ### ","
 ### (B) growing older 
 ### (B) growing older 

 ### (B) growing older 


 ### (B) growing older 


 ### (B) growing older 


 ### (B) growing older 



 ### (B) growing"
412,412,993,B,Where did you meet your best friend since Kindergarten?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""friend's house"", 'school', 'fraternity house', 'internet cafe',
       'airplane'], dtype=object)}",friend's house,school,fraternity house,internet cafe,,"### Where did you meet your best friend since Kindergarten? (A) friend's house (B) school (C) fraternity house (D) internet cafe 
 ### ","1) friend's house 
 ### 1) friend's house 
 ### 1) friend's house 
 ### Which of these is a place where you met your spouse?  (A) school (B) internet cafe (C) school ("
413,413,286,A,Where are you likely to set papers while working on them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['table', 'meeting', 'drawer', 'toilet', 'garage'], dtype=object)}",table,meeting,drawer,toilet,,"### Where are you likely to set papers while working on them? (A) table (B) meeting (C) drawer (D) toilet 
 ### ","1) table 
 ### 1) table 
 ### Which of these would be a source of light for reading and writing?  (A) a toad (B) a tree (C) a flashlight (D) a lamp 
 ### (D) a lamp 
 ### (D"
414,414,710,D,Joe and Jill didn't want their children to be sedentary.  They might limit the time they children spend doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play sports', 'throw things', 'reading', 'watch tv',
       'play with toys'], dtype=object)}",play sports,throw things,reading,watch tv,,"### Joe and Jill didn't want their children to be sedentary.  They might limit the time they children spend doing what? (A) play sports (B) throw things (C) reading (D) watch tv 
 ### ","2) throw things 
 ### 2) throw things 
 ### 2) throw things 
 ### 2) throw things 

 ### 2) throw things 
 ### 2) throw things 
"
415,415,343,B,What geographic area is a lizard likely to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ball stopped', 'west texas', 'arid regions', 'garden',
       'warm place'], dtype=object)}",ball stopped,west texas,arid regions,garden,,"### What geographic area is a lizard likely to be? (A) ball stopped (B) west texas (C) arid regions (D) garden 
 ### ","3) arid regions 
 ### 3) arid regions 
 ### 3) arid regions 
 ### Which of the following would be most likely to eat a lizard?  (A) a dog (B) a cat (C) a hawk (D)"
416,416,484,C,What type of non-vegetarian soup is one likely to find a potato?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beef stew', 'own kitchen', 'clam chowder', 'kitchen cabinet',
       'pantry'], dtype=object)}",beef stew,own kitchen,clam chowder,kitchen cabinet,,"### What type of non-vegetarian soup is one likely to find a potato? (A) beef stew (B) own kitchen (C) clam chowder (D) kitchen cabinet 
 ### ","0) beef stew 
 ### (C) clam chowder 
 ### (C) clam chowder 
 ### (C) clam chowder 
Combining answers from the choices provided, the"
417,417,303,D,John and Joe like planning games but Joe  was hit by a ball and fell down. What might have happened to Joe.,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anger', 'good natured ribbing.', 'enjoying', 'injury',
       'enjoyment'], dtype=object)}",anger,good natured ribbing.,enjoying,injury,,"### John and Joe like planning games but Joe  was hit by a ball and fell down. What might have happened to Joe. (A) anger (B) good natured ribbing. (C) enjoying (D) injury 
 ### ","
D) injury 

 ### 
D) injury 

 ### (D) injury 


 ### (D) injury 


 ### (D) injury 


 ### (D)"
418,418,1039,C,What is main benefit to exercising?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['losing weight', 'healthy', 'get in shape', 'weight loss', 'sweat'],
      dtype=object)}",losing weight,healthy,get in shape,weight loss,,"### What is main benefit to exercising? (A) losing weight (B) healthy (C) get in shape (D) weight loss 
 ### ","
 ### (B) healthy 
 ### (B) healthy 

 ### (B) healthy 

 ### (B) healthy 

 ### (B) healthy 

 ### (B) healthy 

 ### (B) healthy 

If"
419,419,186,B,What could suddenly stop someone when he or she is running?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mushroom', 'falling down', 'sweating', 'exhaustion',
       'getting tired'], dtype=object)}",mushroom,falling down,sweating,exhaustion,,"### What could suddenly stop someone when he or she is running? (A) mushroom (B) falling down (C) sweating (D) exhaustion 
 ### ","4) sweating 
 ### 4) sweating 
 ### 4) sweating 
I'm glad you're interested in learning about this topic, but I cannot provide information that could cause harm to individuals. It is important to prioritize safety and well-being"
420,420,423,B,"The man didn't do great in college, all his best memories were late night with his brothers at the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big city', 'fraternity house', 'school', 'building', 'big town'],
      dtype=object)}",big city,fraternity house,school,building,,"### The man didn't do great in college, all his best memories were late night with his brothers at the what? (A) big city (B) fraternity house (C) school (D) building 
 ### ","3) school 
 ### 3) school 
 ### 3) school 
 ### 3) school 
 ### 3) school 
 ### 3) school 
 ### 3) school 
 ### "
421,421,1209,C,"If I did not have a rosebush, where would I get one?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pot', 'museum', 'garden center', 'formal garden', 'backyard'],
      dtype=object)}",pot,museum,garden center,formal garden,,"### If I did not have a rosebush, where would I get one? (A) pot (B) museum (C) garden center (D) formal garden 
 ### ","3) pot 
If I did not have a rosebush, I would get one from a  (C) garden center 
If I did not have a rosebush, I would get one from a 
D) formal garden 
 ### (C) garden center "
422,422,758,D,"Where can you buy a magazine, paper or gum?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'rack', 'bed', 'newsstand', 'bus depot'], dtype=object)}",bank,rack,bed,newsstand,,"### Where can you buy a magazine, paper or gum? (A) bank (B) rack (C) bed (D) newsstand 
 ### ","3) bed 
 ### 3) bed 
 ### 3) bed 
Natural disasters can cause rack to become  (A) taller (B) shorter (C) overflowing (D) emptier 
 ### (C) overflowing 
Natural dis"
423,423,741,A,Children's behavior is a direct reflection of their what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['parents', 'old people', 'play ball', 'many adults', 'grown ups'],
      dtype=object)}",parents,old people,play ball,many adults,,"### Children's behavior is a direct reflection of their what? (A) parents (B) old people (C) play ball (D) many adults 
 ### ","1) parents 
 ### 1) parents 
 ### Which of these would be a reason for a child getting into trouble?  (A) the child looks like the father (B) the child looks like the mother (C) the child looks like a teacher (D) the child looks like"
424,424,481,B,"The man started to learn jogging, what was he hoping to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['exhaustion', 'getting in shape', 'fitness', 'injure himself',
       'fatigue'], dtype=object)}",exhaustion,getting in shape,fitness,injure himself,,"### The man started to learn jogging, what was he hoping to do? (A) exhaustion (B) getting in shape (C) fitness (D) injure himself 
 ### ","4) Increase his lung capacity 
 ### 4) Increase his lung capacity 
 ### 4) Increase his lung capacity 
 ### To increase his lung capacity 
 ### To increase his lung capacity 
 ### To increase his lung capacity "
425,425,328,C,"The player lifted his cornet and walked in rhythm, what was the player a member of?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['museum', 'high school band', 'marching band', 'orchestra', 'band'],
      dtype=object)}",museum,high school band,marching band,orchestra,,"### The player lifted his cornet and walked in rhythm, what was the player a member of? (A) museum (B) high school band (C) marching band (D) orchestra 
 ### ","3) marching band 
 ### 3) marching band 
 ### 3) marching band 
I'm glad you're enjoying the story! Here's the next part: 
The player's cornet s"
426,426,922,D,"If someone was making breakfast, they'd probably put two slices of bread in the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['plastic bag', 'pantry', 'supermarket', 'toaster', 'prison'],
      dtype=object)}",plastic bag,pantry,supermarket,toaster,,"### If someone was making breakfast, they'd probably put two slices of bread in the what? (A) plastic bag (B) pantry (C) supermarket (D) toaster 
 ### ","0) none of the options provided are correct 
 ### (D) toaster 
 ### (D) toaster 
 ### (D) toaster 
 ### (D) toaster 
 ### (D) toaster 
 ### ("
427,427,239,B,A creek is a body of water found in what low land?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'valley', 'outdoors', 'countryside', 'woods'],
      dtype=object)}",forest,valley,outdoors,countryside,,"### A creek is a body of water found in what low land? (A) forest (B) valley (C) outdoors (D) countryside 
 ### ","2) valley 
 ### 2) valley 
 ### 2) valley 
Normally, a person would use a combination of their thumb and index finger to measure something that is  (A) tall (B) short (C) wide (D) long 
"
428,428,748,C,"A thoroughfare meandered through fields and woods, where was it passing though?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['move about', 'city', 'country', 'town', 'new york city'],
      dtype=object)}",move about,city,country,town,,"### A thoroughfare meandered through fields and woods, where was it passing though? (A) move about (B) city (C) country (D) town 
 ### ","1) move about 
 ### 1) move about 
Normally, when a path moves, it is in a constant state of   (A) relocating (B) rotating (C) transforming (D) redirecting 
 ### (A) reloc"
429,429,1219,A,"Setting up framing, truss and beam are some of the first steps in what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new construction', 'warehouse', 'driving', 'ceiling', 'bridge'],
      dtype=object)}",new construction,warehouse,driving,ceiling,,"### Setting up framing, truss and beam are some of the first steps in what? (A) new construction (B) warehouse (C) driving (D) ceiling 
 ### ","1) new construction 
 ### 1) new construction 
 ### 1) new construction 
Normally, after the initial steps in building, the construction crew will hold a meeting to go over what is termed as a ""pre-job conference."" This"
430,430,1197,B,Where can you find a place to eat in an urban area close to local nightlife?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['city', 'downtown', 'mall', 'shopping center', 'own house'],
      dtype=object)}",city,downtown,mall,shopping center,,"### Where can you find a place to eat in an urban area close to local nightlife? (A) city (B) downtown (C) mall (D) shopping center 
 ### ","3) mall 
 ### (B) downtown 
 ### (B) downtown 
 ### (B) downtown 
 ### (B) downtown 
 ### Which of these is a place where you can find a restaurant"
431,431,959,A,where is a good place to obtain new soap?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['supermarket', 'washing', 'cabinet', 'own home', 'sink'],
      dtype=object)}",supermarket,washing,cabinet,own home,,"### where is a good place to obtain new soap? (A) supermarket (B) washing (C) cabinet (D) own home 
 ### ","1) supermarket 
 ### 1) supermarket 
Normally, soap is something that is used up over time, so it's a good idea to make your own in order to avoid buying it. 
Soap can be made with a variety of ingredients, such as o"
432,432,1060,A,What was the man encouraged to do after he expressed his anger violently?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cool off', 'punch', 'illustrate point', 'fight', 'release energy'],
      dtype=object)}",cool off,punch,illustrate point,fight,,"### What was the man encouraged to do after he expressed his anger violently? (A) cool off (B) punch (C) illustrate point (D) fight 
 ### ","
 ### (A) cool off 
 ### (A) cool off 
 ### (A) cool off 

 ### (A) cool off 

 ### (A) cool off 

 ### (A) cool off 

 ### (A) cool off"
433,433,74,C,What would not be true about a basketball if it had a hole in it but it did not lose its general shape?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['punctured', 'popular in america', 'full of air', 'gone', 'round'],
      dtype=object)}",punctured,popular in america,full of air,gone,,"### What would not be true about a basketball if it had a hole in it but it did not lose its general shape? (A) punctured (B) popular in america (C) full of air (D) gone 
 ### ","1) punctured 
 ### 1) punctured 
 ### 1) punctured 
In summary, a basketball with a hole in it, but still in its general shape, would be  ("
434,434,1076,C,"John is sitting in a toilet stall in a bathroom, outside he can hear cars going around in circles.  What is the function of the place he is most likely at?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eating food', 'public place', 'race track', 'at hotel',
       'public building'], dtype=object)}",eating food,public place,race track,at hotel,,"### John is sitting in a toilet stall in a bathroom, outside he can hear cars going around in circles.  What is the function of the place he is most likely at? (A) eating food (B) public place (C) race track (D) at hotel 
 ### ","
 ### (C) race track 
 ### (C) race track 

 ### (C) race track 

 ### (C) race track "
435,435,1165,A,What type of demands to the unions need to be making to go off strike?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reasonable', 'more money', 'not go to work', 'return to work',
       'union'], dtype=object)}",reasonable,more money,not go to work,return to work,,"### What type of demands to the unions need to be making to go off strike? (A) reasonable (B) more money (C) not go to work (D) return to work 
 ### ","
 ### (D) return to work 
 ### (D) return to work 
This answer is incorrect 
The correct answer is (B) more money 
 ### (B) more money 

 ### (B) more money 

"
436,436,433,C,It's dangerous to let pet birds free so it's better to keep them what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slavery', 'caught', 'caged in', 'topfree', 'prisoner'],
      dtype=object)}",slavery,caught,caged in,topfree,,"### It's dangerous to let pet birds free so it's better to keep them what? (A) slavery (B) caught (C) caged in (D) topfree 
 ### ","1) caught 
 ### 1) caught 
 ### 1) caught 
 ### Which of these would be a reason to keep a bird in a cage?  (A) it's dangerous to let birds fly around (B) it's"
437,437,91,C,You'll find a landing at the top of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean', 'apartment building', 'stairwell', 'airport', 'room'],
      dtype=object)}",ocean,apartment building,stairwell,airport,,"### You'll find a landing at the top of what? (A) ocean (B) apartment building (C) stairwell (D) airport 
 ### ","4) stairwell 
 ### 4) stairwell 
 ### 4) stairwell 
 ### 4) stairwell 
I'm glad you're enjoying the quiz! Here's the answer key: 
A) ocean 
"
438,438,348,A,What does everyone have in relation to other people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feelings', 'food', 'unique personality', 'different standards',
       'values'], dtype=object)}",feelings,food,unique personality,different standards,,"### What does everyone have in relation to other people? (A) feelings (B) food (C) unique personality (D) different standards 
 ### ","1) feelings 
 ### 1) feelings 
Normally, people would have different  (D) different standards 
But here, the answer is 1) feelings 
 ### Which of these is true?  (A) feelings are a renewable resource (B) feelings are a thing that"
439,439,707,A,What very large group of western citizens has bees everywhere?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['united states', 'space station', 'trash can', 'field of flowers',
       'bouquet of flowers'], dtype=object)}",united states,space station,trash can,field of flowers,,"### What very large group of western citizens has bees everywhere? (A) united states (B) space station (C) trash can (D) field of flowers 
 ### ","1) united states 
 ### 1) united states 
In this case, the answer is 1) united states 
 ### Which of these is a correct statement?  (A) united states has bees in space (B) united states has"
440,440,197,A,What do airplanes do as they are arriving at the gate?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slow down', 'crash', 'speed up', 'land', 'carry people'],
      dtype=object)}",slow down,crash,speed up,land,,"### What do airplanes do as they are arriving at the gate? (A) slow down (B) crash (C) speed up (D) land 
 ### ","1) slow down 
 ### 1) slow down 
 ### 1) slow down 
Normally, airplanes will slow down as they approach the gate. This is done to make sure that the plane can safely stop and also to make sure that the people on board can"
441,441,991,C,The earth is one planet in what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tree', 'orbit', 'solar system', 'fotograph', 'dreams'],
      dtype=object)}",tree,orbit,solar system,fotograph,,"### The earth is one planet in what? (A) tree (B) orbit (C) solar system (D) fotograph 
 ### ","1) tree 
 ### (C) solar system 
 ### (C) solar system 
 ### (C) solar system 

 ### Which of these is true?  (A) the earth is in a tree (B) the earth is in an orbit (C) the earth is in a fotograph (D"
442,442,512,A,Where is a public monument likely to be erected by a city?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['municipal park', 'office', 'state park', 'cemetary',
       'public gardens'], dtype=object)}",municipal park,office,state park,cemetary,,"### Where is a public monument likely to be erected by a city? (A) municipal park (B) office (C) state park (D) cemetary 
 ### ","1) municipal park 
 ### 1) municipal park 
 ### 1) municipal park 
Normally, a public monument is erected in a municipal park, as it is a public space and a park is a place for the community to gather and enjoy. 
 ###"
443,443,274,D,One of the potential hazards of attending school is what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cooties', 'get smart', 'boredom', 'colds and flu', 'taking tests'],
      dtype=object)}",cooties,get smart,boredom,colds and flu,,"### One of the potential hazards of attending school is what? (A) cooties (B) get smart (C) boredom (D) colds and flu 
 ### ","3) boredom 
 ### 3) boredom 
4. Which of these is a potential hazard of attending school? 
A) cooties 
B) get smart 
C) boredom 
D)"
444,444,886,A,What could people do that involves talking?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['confession', 'state park', 'sing', 'carnival', 'opera'],
      dtype=object)}",confession,state park,sing,carnival,,"### What could people do that involves talking? (A) confession (B) state park (C) sing (D) carnival 
 ### ","1) confession 
 ### 1) confession 
In the field of psychology, a confession is a type of disclosure made by an individual regarding past actions or thoughts. It is a type of self disclosure, and can be a way for a person to  (A) seek forgiveness ("
445,445,1110,D,Where areas are there likely to be many nightclubs?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['manhattan', 'drink and dance', 'alcohol', 'major city',
       'downtown area'], dtype=object)}",manhattan,drink and dance,alcohol,major city,,"### Where areas are there likely to be many nightclubs? (A) manhattan (B) drink and dance (C) alcohol (D) major city 
 ### ","1) manhattan 
 ### 1) manhattan 
 ### 1) manhattan 
Nightclubs are often found in large cities with a vibrant party scene, such as  (A) manhattan 
 ### (A) manh"
446,446,580,D,Where is known to be a wealth of information?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['park', 'internet', 'meeting', 'library', 'book'], dtype=object)}",park,internet,meeting,library,,"### Where is known to be a wealth of information? (A) park (B) internet (C) meeting (D) library 
 ### ","2) internet 
 ### 2) internet 
 ### 2) internet 
Norman Lewis, a British author, is credited with coining the term ""information superhighway"" in 1977. The term was used to describe the potential of the internet to be a wealth of information, as"
447,447,564,D,In what country are the most fast food restaurants?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new york', 'blocks of flats', 'center of town', 'america',
       'big cities'], dtype=object)}",new york,blocks of flats,center of town,america,,"### In what country are the most fast food restaurants? (A) new york (B) blocks of flats (C) center of town (D) america 
 ### ","7) China 
 ### (D) America 
 ### (D) America 
 ### (D) America 
I'm glad you're interested in my answer, but I'm afraid it's incorrect. The country with the most fast food restaurants is actually"
448,448,739,A,"If I wanted to eat something that is made from plants and needs to be washed, what would it be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['roots', 'millions of cells', 'see work', 'leaves to gather light',
       'flowers on'], dtype=object)}",roots,millions of cells,see work,leaves to gather light,,"### If I wanted to eat something that is made from plants and needs to be washed, what would it be? (A) roots (B) millions of cells (C) see work (D) leaves to gather light 
 ### ","
 ### (B) millions of cells 
 ### (B) millions of cells 

 ### (B) millions of cells 

 ### (B) millions of cells 

 ### (B) millions of cells 
"
449,449,775,A,"If someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gay bar', 'market', 'grocery store', 'refrigerator', 'container'],
      dtype=object)}",gay bar,market,grocery store,refrigerator,,"### If someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it? (A) gay bar (B) market (C) grocery store (D) refrigerator 
 ### ","2) market 
 ### 2) market 
 ### 2) market 
 ### 2) market 
 ### 2) market 
I'm glad you think so. It's important"
450,450,588,D,What is the sun ultimately responsible for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['earth warming', 'sun tan', 'light', 'life on earth', 'heat'],
      dtype=object)}",earth warming,sun tan,light,life on earth,,"### What is the sun ultimately responsible for? (A) earth warming (B) sun tan (C) light (D) life on earth 
 ### ","1) earth warming 
 ### 1) earth warming 
Normally, the sun is responsible for  (A) earth warming 
The sun is the primary source of energy and heat for our planet, and is the reason why the Earth is warm enough to support life. 
With"
451,451,507,A,Where would you go to get some pamphlets if you want to own them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bookstore', 'drawer', 'health department', 'mail box', 'library'],
      dtype=object)}",bookstore,drawer,health department,mail box,,"### Where would you go to get some pamphlets if you want to own them? (A) bookstore (B) drawer (C) health department (D) mail box 
 ### ","1) bookstore 
 ### 1) bookstore 
 ### 1) bookstore 
In this case, the answer is 1) bookstore 
 ### Which of these would be a reason to go to the doctor?  (A) a paper that"
452,452,650,D,"He was trying to procreate with many individuals, this led to a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['moaning', 'die', 'kiss', 'std', 'sanity'], dtype=object)}",moaning,die,kiss,std,,"### He was trying to procreate with many individuals, this led to a what? (A) moaning (B) die (C) kiss (D) std 
 ### ","7) die 
 ### 7) die 
Procreation is the act of creating or giving birth to offspring. When an animal, or in this case, a human, engages in regular sexual intercourse with multiple partners, without using any form of protection, the likelihood"
453,453,308,B,Kramer wrote a self-referential book.  What might that book be about?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['counter', 'coffee table', 'school room', 'backpack',
       'bedside table'], dtype=object)}",counter,coffee table,school room,backpack,,"### Kramer wrote a self-referential book.  What might that book be about? (A) counter (B) coffee table (C) school room (D) backpack 
 ### ","2) coffee table 
 ### 2) coffee table 

 ### 2) coffee table 

 ### 2) coffee table 

 ### 2) coffee table 

 ### 2) coffee table 

 ### 2) coffee"
454,454,846,C,"Sean was a wreck.  He  loved to build houses, but in his current state, he couldn't do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stand up', 'produce', 'construct', 'make', 'build'], dtype=object)}",stand up,produce,construct,make,,"### Sean was a wreck.  He  loved to build houses, but in his current state, he couldn't do what? (A) stand up (B) produce (C) construct (D) make 
 ### ","
 ### (A) stand up 
 ### (A) stand up 
 ### (A) stand up 
 ### (A) stand up 
 ### (A) stand up 
 ### (A) stand up 
"
455,455,461,B,What is it called when two people in love have children?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['take oath', 'procreate', 'matrimony', 'please parents',
       'live life'], dtype=object)}",take oath,procreate,matrimony,please parents,,"### What is it called when two people in love have children? (A) take oath (B) procreate (C) matrimony (D) please parents 
 ### ","4) procreate 
 ### 4) procreate 
Procreate refers to the process of two people in love having children. This term is often used in a positive light, as it is a natural and beautiful part of life. 
Procreate is a combination of the words """
456,456,211,C,"After standing up I had to sit right back down, why would I feel like this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['train', 'effort', 'balance', 'feet', 'muscles'], dtype=object)}",train,effort,balance,feet,,"### After standing up I had to sit right back down, why would I feel like this? (A) train (B) effort (C) balance (D) feet 
 ### ","
 ### (C) balance 
 ### (C) balance 
 ### (C) balance 
I would like to know more about this. Which one of these is true? 
 ### (C) balance 
 ### (C) balance 
I would like to know more"
457,457,16,D,When drinking booze what can you do to stay busy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reach tentative agreement', 'stay in bed', 'stop bicycle',
       'examine thing', 'suicide'], dtype=object)}",reach tentative agreement,stay in bed,stop bicycle,examine thing,,"### When drinking booze what can you do to stay busy? (A) reach tentative agreement (B) stay in bed (C) stop bicycle (D) examine thing 
 ### ","1) reach tentative agreement 
 ### 1) reach tentative agreement 
In this situation, it is best to reach a tentative agreement with someone, as this will allow you to focus on the task at hand and avoid any distractions. This can"
458,458,969,A,"Sally was standing in queue.  The line was very, very slow.  What was she feeling?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['frustration', 'delays', 'being annoyed', 'moving forward',
       'progress'], dtype=object)}",frustration,delays,being annoyed,moving forward,,"### Sally was standing in queue.  The line was very, very slow.  What was she feeling? (A) frustration (B) delays (C) being annoyed (D) moving forward 
 ### "," (A) frustration 
 ### (A) frustration 
 ### (A) frustration 

 ### (A) frustration 

 ### Which of these would be a reason for Sally to leave the queue?  ("
